Lebar Mulut/Jarak Pupil Mata,Lebar Dagu/Jarak Pupil Mata,Lebar Pipi/Jarak Pupil Mata,Lebar Dahi/Jarak Pupil Mata,Lebar Hidung/Jarak Pupil Mata,Lebar Mata/Jarak Pupil Mata,Tinggi Hidung/Jarak Pupil Mata,Label
1.30,1.20,2.10,2.00,0.85,1.65,1.00,B.J.Habibie
0.78,0.93,1.56,1.33,0.58,1.22,0.78,B.J.Habibie
0.76,0.80,1.67,1.48,0.57,1.28,0.83,B.J.Habibie
0.83,1.00,1.64,1.55,0.60,1.36,0.71,B.J.Habibie
0.75,1.07,1.43,1.52,0.55,1.25,0.80,B.J.Habibie
0.83,1.00,1.63,1.25,0.63,1.31,0.83,B.J.Habibie
0.67,1.00,1.44,1.56,0.51,1.33,0.78,B.J.Habibie
0.77,0.86,1.77,1.57,0.57,1.29,0.86,B.J.Habibie
0.80,0.89,1.60,1.56,0.64,1.33,0.78,B.J.Habibie
0.83,0.83,1.83,2.00,0.67,1.23,1.00,B.J.Habibie
0.94,0.90,1.60,1.60,0.60,1.30,0.90,B.J.Habibie
0.80,0.98,1.63,1.70,0.66,1.32,0.85,B.J.Habibie
0.82,0.92,1.53,1.63,0.61,1.22,0.96,B.J.Habibie
0.70,0.81,1.81,1.89,0.54,1.41,1.00,B.J.Habibie
0.75,0.80,1.63,1.45,0.53,1.25,0.88,B.J.Habibie
0.71,0.97,1.58,1.32,0.53,1.18,0.79,B.J.Habibie
0.72,1.22,1.56,1.56,0.88,1.19,1.50,B.J.Habibie
0.67,0.92,1.67,1.33,0.50,1.25,0.75,B.J.Habibie
0.83,0.83,1.67,1.67,0.62,1.31,0.88,B.J.Habibie
0.65,0.93,1.63,1.30,0.57,1.24,0.87,B.J.Habibie
0.60,0.80,1.60,1.60,0.48,1.20,0.68,B.J.Habibie
0.80,1.00,1.60,1.60,0.60,1.30,0.80,B.J.Habibie
0.75,0.88,1.63,1.38,0.60,1.13,0.88,B.J.Habibie
0.67,0.89,1.78,1.56,1.22,0.56,0.89,B.J.Habibie
0.84,1.00,1.56,1.56,0.63,1.31,0.78,B.J.Habibie
